k,v
0,エンタメ/ホビー > エンタメその他 > その他
1,エンタメ/ホビー > CD > ポップス/ロック(洋楽)
2,エンタメ/ホビー > CD > ポップス/ロック(邦楽)
3,エンタメ/ホビー > CD > アニメ
4,エンタメ/ホビー > おもちゃ/ぬいぐるみ > キャラクターグッズ
5,エンタメ/ホビー > アニメグッズ > その他
6,エンタメ/ホビー > フィギュア > アニメ/ゲーム
7,エンタメ/ホビー > フィギュア > 特撮
8,レディース > ワンピース > ひざ丈ワンピース
9,インテリア/住まい/日用品 > 文房具 > ペン/マーカー
10,スポーツ/アウトドア > フィッシング > ルアー用品
11,エンタメ/ホビー > おもちゃ/ぬいぐるみ > ぬいぐるみ
12,エンタメ/ホビー > おもちゃ/ぬいぐるみ > 模型/プラモデル
13,メンズ > トップス > Tシャツ/カットソー(半袖/袖なし)
14,スマホ/家電/カメラ > オーディオ機器 > ヘッドフォン/イヤフォン
15,エンタメ/ホビー > トレーディングカード > シングルカード
16,楽器 > ギター > エレキギター
17,メンズ > 靴/シューズ > スニーカー
18,エンタメ/ホビー > 美術品/アンティーク > 絵画/タペストリー
19,エンタメ/ホビー > おもちゃ/ぬいぐるみ > ミニカー
20,エンタメ/ホビー > テレビゲーム > 家庭用ゲーム本体
21,エンタメ/ホビー > テレビゲーム > 家庭用ゲームソフト
